,year,driverRef,wins,racesCount
56,1950,farina,3,7
55,1951,fangio,3,8
54,1952,ascari,6,8
53,1953,ascari,5,9
57,1954,fangio,6,9
52,1955,fangio,4,7
51,1956,fangio,3,7
50,1957,fangio,4,8
49,1958,hawthorn,1,10
59,1959,jack_brabham,2,9
48,1960,jack_brabham,5,10
47,1961,phil_hill,2,8
46,1962,hill,4,9
58,1963,clark,7,9
45,1964,surtees,2,10
44,1965,clark,6,10
43,1966,jack_brabham,4,8
42,1967,hulme,2,11
41,1968,hill,3,12
40,1969,stewart,6,11
39,1970,rindt,5,13
37,1971,stewart,6,11
36,1972,emerson_fittipaldi,5,12
35,1973,stewart,5,15
34,1974,emerson_fittipaldi,3,12
33,1975,lauda,5,14
32,1976,hunt,6,16
31,1977,lauda,3,17
30,1978,mario_andretti,6,16
29,1979,scheckter,3,15
28,1980,jones,5,14
27,1981,piquet,3,15
26,1982,keke_rosberg,1,16
25,1983,piquet,3,14
24,1984,lauda,5,16
23,1985,prost,5,15
22,1986,prost,4,16
21,1987,piquet,3,16
20,1988,senna,8,16
19,1989,prost,4,15
17,1990,senna,6,16
18,1991,senna,7,16
16,1992,mansell,9,16
15,1993,prost,7,16
14,1994,michael_schumacher,8,16
13,1995,michael_schumacher,9,17
12,1996,damon_hill,8,16
11,1997,villeneuve,7,17
10,1998,hakkinen,8,16
9,1999,hakkinen,5,16
8,2000,michael_schumacher,9,17
7,2001,michael_schumacher,9,17
6,2002,michael_schumacher,11,17
5,2003,michael_schumacher,6,16
4,2004,michael_schumacher,13,18
3,2005,alonso,7,19
2,2006,alonso,7,18
1,2007,raikkonen,6,16
0,2008,hamilton,5,18
38,2009,button,6,17
60,2010,vettel,5,18
61,2011,vettel,11,19
62,2012,vettel,5,19
63,2013,vettel,13,19
64,2014,hamilton,11,19
65,2015,hamilton,10,19
66,2016,rosberg,9,21
67,2017,hamilton,9,20
68,2018,hamilton,11,21
69,2019,hamilton,11,21
70,2020,hamilton,11,17
71,2021,max_verstappen,10,22
72,2022,max_verstappen,15,22
